Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
2020,1,0,0,79,0,0,0,0,0,0,0,0,0,0
2020,1,0,1,80,0,0,0,0,0,0,0,0,0,0
2020,1,0,2,105,0,0,0,0,0,0,0,0,0,0
2020,1,0,3,101,0,0,0,0,0,0,0,0,0,0
2020,1,0,4,105,0,0,0,0,0,0,0,0,0,0
2020,1,0,5,86,0,0,0,0,0,0,0,0,0,0
2020,1,0,6,101,0,0,0,0,0,0,0,0,0,0
2020,1,0,7,87,0,0,0,0,0,0,0,0,0,0
2020,1,0,8,89,0,0,0,0,0,0,0,0,0,0
2020,1,0,9,94,0,0,0,0,0,0,0,0,0,0
2020,1,0,10,79,0,0,0,0,0,0,0,0,0,0
2020,1,0,11,90,0,0,0,0,0,0,0,0,0,0
2020,1,0,12,104,0,0,0,0,0,0,0,0,0,0
2020,1,0,13,104,0,0,0,0,0,0,0,0,0,0
2020,1,0,14,77,0,0,0,0,0,0,0,0,0,0
2020,1,0,15,95,0,0,0,0,0,0,0,0,0,0
2020,1,0,16,92,0,0,0,0,0,0,0,0,0,0
2020,1,0,17,73,0,0,0,0,0,0,0,0,0,0
2020,1,0,18,112,0,0,0,0,0,0,0,0,0,0
2020,1,0,19,81,0,0,0,0,0,0,0,0,0,0
2020,1,0,20,86,0,0,0,0,0,0,0,0,0,0
2020,1,0,21,85,0,0,0,0,0,0,0,0,0,0
2020,1,0,22,90,0,0,0,0,0,0,0,0,0,0
2020,1,0,23,103,0,0,0,0,0,0,0,0,0,0
2020,1,0,24,91,0,0,0,0,0,0,0,0,0,0
2020,1,0,25,77,0,0,0,0,0,0,0,0,0,0
2020,1,0,26,92,0,0,0,0,0,0,0,0,0,0
2020,1,0,27,103,0,0,0,0,0,0,0,0,0,0
2020,1,0,28,92,0,0,0,0,0,0,0,0,0,0
2020,1,0,29,89,0,0,0,0,0,0,0,0,0,0
2020,1,0,30,81,0,0,0,0,0,0,0,0,0,0
2020,1,0,31,102,0,0,0,0,0,0,0,0,0,0
2020,1,0,32,75,0,0,0,0,0,0,0,0,0,0
2020,1,0,33,95,0,0,0,0,0,0,0,0,0,0
2020,1,0,34,108,0,0,0,0,0,0,0,0,0,0
2020,1,0,35,84,0,0,0,0,0,0,0,0,0,0
2020,1,0,36,89,0,0,0,0,0,0,0,0,0,0
2020,1,0,37,97,0,0,0,0,0,0,0,0,0,0
2020,1,0,38,93,0,0,0,0,0,0,0,0,0,0
2020,1,0,39,80,0,0,0,0,0,0,0,0,0,0
2020,1,0,40,101,0,0,0,0,0,0,0,0,0,0
2020,1,0,41,79,0,0,0,0,0,0,0,0,0,0
2020,1,0,42,80,0,0,0,0,0,0,0,0,0,0
2020,1,0,43,101,0,0,0,0,0,0,0,0,0,0
2020,1,0,44,95,0,0,0,0,0,0,0,0,0,0
2020,1,0,45,89,0,0,0,0,0,0,0,0,0,0
2020,1,0,46,89,0,0,0,0,0,0,0,0,0,0
2020,1,0,47,86,0,0,0,0,0,0,0,0,0,0
2020,1,0,48,91,0,0,0,0,0,0,0,0,0,0
2020,1,0,49,84,0,0,0,0,0,0,0,0,0,0
2020,1,0,50,93,0,0,0,0,0,0,0,0,0,0
2020,1,0,51,84,0,0,0,0,0,0,0,0,0,0
2020,1,0,52,97,0,0,0,0,0,0,0,0,0,0
2020,1,0,53,85,0,0,0,0,0,0,0,0,0,0
