Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
0,1,X,8736,1264,3.23497
0,1,Y,0,0,0
0,1,a0,8736,1264,3.23497
0,1,a1,0,0,0
0,1,b0,8736,1264,3.23497
0,1,b1,0,0,0
0,1,a0.b0,8736,1264,3.23497
0,1,a1.b1,0,0,0
1,1,X,7539,1197,3.96658
1,1,Y,0,0,0
1,1,a0,7539,1197,3.96658
1,1,a1,0,0,0
1,1,b0,7539,1197,3.96658
1,1,b1,0,0,0
1,1,a0.b0,7539,1197,3.96658
1,1,a1.b1,0,0,0
2,1,X,6520,1019,4.80765
2,1,Y,0,0,0
2,1,a0,6520,1019,4.80765
2,1,a1,0,0,0
2,1,b0,6520,1019,4.80765
2,1,b1,0,0,0
2,1,a0.b0,6520,1019,4.80765
2,1,a1.b1,0,0,0
3,1,X,5637,883,6.1778
3,1,Y,0,0,0
3,1,a0,5637,883,6.1778
3,1,a1,0,0,0
3,1,b0,5637,883,6.1778
3,1,b1,0,0,0
3,1,a0.b0,5637,883,6.1778
3,1,a1.b1,0,0,0
4,1,X,4796,841,6.96552
4,1,Y,0,0,0
4,1,a0,4796,841,6.96552
4,1,a1,0,0,0
4,1,b0,4796,841,6.96552
4,1,b1,0,0,0
4,1,a0.b0,4796,841,6.96552
4,1,a1.b1,0,0,0
5,1,X,4114,682,7.69941
5,1,Y,0,0,0
5,1,a0,4114,682,7.69941
5,1,a1,0,0,0
5,1,b0,4114,682,7.69941
5,1,b1,0,0,0
5,1,a0.b0,4114,682,7.69941
5,1,a1.b1,0,0,0
6,1,X,3528,586,9.16553
6,1,Y,0,0,0
6,1,a0,3528,586,9.16553
6,1,a1,0,0,0
6,1,b0,3528,586,9.16553
6,1,b1,0,0,0
6,1,a0.b0,3528,586,9.16553
6,1,a1.b1,0,0,0
7,1,X,2975,553,9.99458
7,1,Y,0,0,0
7,1,a0,2975,553,9.99458
7,1,a1,0,0,0
7,1,b0,2975,553,9.99458
7,1,b1,0,0,0
7,1,a0.b0,2975,553,9.99458
7,1,a1.b1,0,0,0
8,1,X,2474,501,10.7824
8,1,Y,0,0,0
8,1,a0,2474,501,10.7824
8,1,a1,0,0,0
8,1,b0,2474,501,10.7824
8,1,b1,0,0,0
8,1,a0.b0,2474,501,10.7824
8,1,a1.b1,0,0,0
9,1,X,2068,406,12.1355
9,1,Y,0,0,0
9,1,a0,2068,406,12.1355
9,1,a1,0,0,0
9,1,b0,2068,406,12.1355
9,1,b1,0,0,0
9,1,a0.b0,2068,406,12.1355
9,1,a1.b1,0,0,0
10,1,X,1751,317,13.0568
10,1,Y,0,0,0
10,1,a0,1751,317,13.0568
10,1,a1,0,0,0
10,1,b0,1751,317,13.0568
10,1,b1,0,0,0
10,1,a0.b0,1751,317,13.0568
10,1,a1.b1,0,0,0
11,1,X,1410,341,13.7859
11,1,Y,0,0,0
11,1,a0,1410,341,13.7859
11,1,a1,0,0,0
11,1,b0,1410,341,13.7859
11,1,b1,0,0,0
11,1,a0.b0,1410,341,13.7859
11,1,a1.b1,0,0,0
12,1,X,1191,219,15.0594
12,1,Y,0,0,0
12,1,a0,1191,219,15.0594
12,1,a1,0,0,0
12,1,b0,1191,219,15.0594
12,1,b1,0,0,0
12,1,a0.b0,1191,219,15.0594
12,1,a1.b1,0,0,0
13,1,X,990,201,15.9602
13,1,Y,0,0,0
13,1,a0,990,201,15.9602
13,1,a1,0,0,0
13,1,b0,990,201,15.9602
13,1,b1,0,0,0
13,1,a0.b0,990,201,15.9602
13,1,a1.b1,0,0,0
14,1,X,788,202,16.703
14,1,Y,0,0,0
14,1,a0,788,202,16.703
14,1,a1,0,0,0
14,1,b0,788,202,16.703
14,1,b1,0,0,0
14,1,a0.b0,788,202,16.703
14,1,a1.b1,0,0,0
15,1,X,640,148,17.9189
15,1,Y,0,0,0
15,1,a0,640,148,17.9189
15,1,a1,0,0,0
